Company_Name,incorporation_date,Period,income ($M),num_employee,country_code,web_globalrank,has_domain,has_instargram,has_facebook,Status
CHAC MOOL HANDELS GMBH,2007,15,,,276,,no,no,no,inactive
COL. GINNI LAZZARO E.K.,,,,,276,,yes,yes,no,active
DANIEL HARER SCHMUCK GMBH,,,,,276,,no,no,no,inactive
ECLIPSE,,,,,276,17425270,yes,no,no,inactive
EGF - EDUARD G. FIDEL GMBH,2007,15,,,276,,yes,no,yes,active
EUGEN DETTINGER GMBH,,,,,276,,yes,no,no,active
EUGEN RUHLE GMBH + CO. KG,2018,4,,,276,,yes,no,yes,active
GERHARD KUHNEL E.K.,2017,5,,,276,,yes,no,yes,active
GLOBAL GEMS,,,,,276,16590732,yes,no,yes,inactive
HANS D. KRIEGER KG,2015,7,,,276,,yes,no,yes,inactive
HANS RIVOIR GMBH JUWELENMANUFAKTUR,,,,,276,,no,no,no,inactive
HEINZ MAYER OHG,2018,4,,,276,,yes,no,no,inactive
IMPEXCO SCHMUCKWARENHANDEL GMBH,2013,9,,,276,,yes,no,no,inactive
J. KOHLE GMBH & CO. KG,2018,4,,,276,,yes,no,yes,inactive
KLEIN+SCHUTZ GMBH,2012,10,,,276,,yes,no,no,inactive
KOOS EDELMETALLE GMBH,2017,5,,,276,4060017,yes,no,no,active
LARS ENEVOLD KNUDSEN MEO JEWELRY CO LTD,,,,,276,,no,no,no,inactive
LINDER SCHMUCKWAREN GMBH,2014,8,,,276,5244708,yes,no,yes,inactive
QUINN SCHERURLE GMBH,,,,,276,5755502,yes,no,no,active
VICTOR MAYER GMBH & CO. KG,2017,5,,,276,8830727,yes,no,yes,active
WALTER DUMBERT OHG,,,,,276,,no,no,no,inactive
WELLENDORFF GOLD-CREATIONEN GMBH&CO.KG,2008,14,16 - 20,100-249,276,2341381,yes,no,yes,active
WILH. DRACHE KG GMBH & CO.,,,,,276,14647788,yes,no,no,inactive
ARTEON,2010,12,,,300,,yes,yes,yes,active
EKAN SA,,,,,300,,yes,yes,yes,active
FOLLI-FOLLIE S.A.,,,101 - 1000,5000-9999,300,704489,yes,yes,yes,active
GREGIO,1970,52,,20-49,300,420457,yes,no,no,active
"NOVELTEX HELLAS-S. LOUKOPOULOS & CO., LTD.",,,,,300,,no,no,no,inactive
PRINCE SILVERO S.A.,,,,,300,7455140,yes,no,no,active
SAVATI S.A.,,,,,300,7343883,yes,no,yes,active
SYMBOL HELLAS IMPORTING S.A.,1984,38,,,300,,,no,no,active
Taxiarchis Chatzianagnostou Bros SA,1949,73,,50-99,300,934554,yes,yes,yes,active
ALIREZA JEWELRY,,,,,364,,no,no,no,active
TEHRAN GOLDEN ARVIN TRADING CO.,,,,,364,,no,no,no,active
ZARTAB JEWELRY CO.,1999,23,6 - 10,,364,,no,no,no,active
ANTHONY NICHOLAS GROUP,1936,86,,250-499,364,242789,yes,yes,yes,active
ALLE MEGIDDO LTD.,1976,46,,20-49,364,,no,no,no,active
BAT-AMI LTD.,1960,62,6 - 10,10-19,376,,yes,no,yes,active
CITRA JEWELRY LTD.,1979,43,,,376,,yes,no,no,active
COHEN YOSSI JEWELLERY,,,,,376,,no,no,no,active
DENIR INTERNATIONAL LTD.,,,,,376,,no,no,no,active
H.R. DIAMONDS LTD.,1982,40,,,376,,no,no,no,active
INBAR FINE JEWELLERY,1998,24,,,376,,no,no,no,active
INTERNATIONAL BULLION AND METAL BROKERS (TEL AVIV) LTD,2010,12,,,376,,yes,no,no,active
JAFFA GOLD INTERNATIONAL LTD.,1994,28,,,376,,no,no,no,active
LICAST JEWELLER QUALITY TOOLS LTD.,,,,,376,,no,no,no,active
MARINA JEWELLERY LTD.,1996,26,,,376,,yes,yes,yes,active
ZABAN BECHOR'S JEWELLERY LTD.,1995,27,,,376,1080079,yes,yes,yes,active
ACME IN-EX SILVER JEWELLERY,,,2 - 5,10-19,380,,yes,no,no,active
ANTONELLA ORSATO,,,0.5 - 1,,380,,yes,no,no,active
ASOLO GOLD SPA,1984,38,10 -15,50-99,380,,yes,no,no,active
AURA SRL,2001,21,,,380,13263404,yes,yes,yes,active
BETTER SILVER SPA,1977,45,16 - 20,50-99,380,,yes,no,no,active
BIBIGI SRL,,,2 - 5,10-19,380,,yes,yes,yes,active
BRIGATO SRL,2001,21,,20-49,380,,yes,no,no,active
BUSATTI,,,,,380,,no,no,no,active
C.D.I. S.P.A.,1963,59,,,380,,yes,no,yes,active
CARLO BARBERIS SRL,1966,56,,0-9,380,15497800,yes,yes,yes,active
CI ZETA GIOIELLI S.R.L.,,,,,380,,no,no,no,active
CLUB EXOTIC & ORIENTAL HANDCRAFTS,,,,,380,,no,no,no,active
CONFEDORAFI,,,,,380,,no,no,no,active
D AURIA LEONE,,,,,380,,no,no,no,active
DELTA STILE S.R.L.,2010,12,101 - 1000,0-9,380,,yes,no,yes,active
DIBI GOLD SRL,2007,15,101 - 1000,10-19,380,,yes,no,no,active
EIGHTY ONE SRL,1991,31,101 - 1000,0-9,380,,yes,no,yes,active
EVAN S.R.L.,,,,,380,,no,no,no,inactive
F.LLI LACOBELLI SRL,1969,53,,10-19,380,,no,no,no,active
F.LLI MORAGLIONE S.R.L.,1949,73,0.5 - 1,0-9,380,,yes,yes,yes,active
FANAMO SRL 233AR,1975,47,0.5 - 1,,380,,yes,no,no,active
G. ROBERT SRL,1992,30,0.5 - 1,,380,,no,no,no,active
GEMMA GIOIELLI,,,,,380,,yes,no,no,active
GIORGIO VISCONTI SPA,1993,29,16 - 20,,380,1113345,yes,yes,yes,active
Giuri del Design Orafo,,,,,380,,no,no,no,active
GORGOGLIONE SRL,2004,18,2 - 5,20-49,380,,yes,no,no,active
IL SOLE GIOELLI SRL,1995,27,2 - 5,10-19,380,,yes,no,no,active
ITALO GORI SRL,1998,24,101 - 1000,0-9,380,,yes,no,no,active
LA FIORENTE GIOIELLI SRL,,,,,380,,yes,no,no,active
LINEA 2002 SRL,,,,,380,,no,no,no,active
LUCCHETTA ARMANDO SRL,1992,30,2 - 5,20-49,380,,yes,no,no,active
LUNATI SRL,1944,78,76 - 100,0-9,380,,yes,yes,yes,active
MASSONI & MASSONI SRL,2005,17,0.5 - 1,,380,,yes,yes,no,active
MINERAL GEMME SAS,,,,,380,,,no,no,inactive
OROZEN SRL,1979,43,2 - 5,10-19,380,,yes,no,no,active
ROBERTO MAGI SPA,2001,21,2 - 5,,380,,yes,no,no,active
ROTA E ROTA - ERREDUE SRL,,,,,380,,no,no,no,active
STEFANI ARGENTO SRL,1982,40,101 - 1000,0-9,380,,yes,no,no,active
TRADEMAX DI BARBI MARIO MASSIMO,,,,,380,,no,no,no,active
SIA SCALA DI VALORI,2005,17,,20-49,428,,no,no,no,active
AMBER ALEX LTD,,,2 - 5,20-49,440,,yes,yes,yes,active
AMBER SEASIDE,1997,25,2 - 5,20-49,440,,yes,yes,yes,active
AMBER WORLD LT,,,,,440,,no,no,no,active
AMBERHOME LT,2012,10,0.5 - 1,0-9,440,,yes,no,no,active
D. MILIAUS UKI,1995,27,0.5 - 1,20-49,440,,yes,yes,yes,active
SAULUVA,2013,9,0.5 - 1,0-9,440,,yes,no,no,active
CLASSIC JEWELLERS,1997,25,,,470,,yes,yes,yes,active
"EDWARD LOWELL CO., LTD.",1966,56,,,470,14045180,yes,yes,yes,active
ITALA GOLD JEWELLERY LTD.,1990,32,,,470,1525458,no,no,no,active
"ORO BOLEADO, SA DE CV",1995,27,2 - 5,10-19,484,,yes,yes,yes,active
ACCESSA B.V.,,,,,528,,no,no,no,inactive
BRON SIERADEN,,,,,528,,yes,yes,yes,active
C & S INTERNATIONAL B.V.,2020,2,,,528,7534621,no,no,no,inactive
GASSAN DIAMONDS,1945,77,76 - 100,250-499,528,,yes,yes,yes,active
I.B.B.,2013,9,,50-99,528,857075,yes,no,no,active
JEH COLLECTION,1993,29,,0-9,528,,yes,no,no,active
LUCADI JUWELIERS,1988,34,101 - 1000,500-999,528,8123026,yes,yes,yes,active
STELMAN JUWELIER,1982,40,,,528,52443,yes,no,yes,active
THEO LUCAS JUWELIER,,,,,528,5353619,yes,no,no,active
ARGOSY JEWELLERY LIMITED,,,,,528,,no,no,no,inactive
OPAL PACIFIC LTD,1985,37,2 - 5,10-19,528,,yes,no,no,active
IBRAHIM INUWA AND SONS LIMITED.,1995,27,,,562,,no,no,no,inactive
DONNAS SMYKKEGALLERI DONNA JEAN,2012,10,,0-9,578,,no,no,no,inactive
ARIN S.A.,1986,36,,50-99,604,,yes,no,no,active
ALL SILVER,,,,,616,10600529,yes,no,no,active
AMBER-KEWA,,,,,616,10437100,yes,no,no,active
AMBERSIL ADAM MISZTAL,1995,27,,,616,,yes,no,no,active
AMBRA-CASA CEZARY KRASZEWSKI,1997,25,,,616,,no,no,no,inactive
BACO CO. GRZEGORZ DEJCZ,,,6 - 10,20-49,616,,no,no,no,inactive
BIAMET,2001,21,,,616,,yes,no,no,active
DE TIAN SP. Z,2002,20,,10-19,616,,yes,no,no,active
FH KALOTA,1997,25,,,616,,yes,yes,yes,active
GREGSTON,2012,10,,,616,,yes,no,no,active
ITAR BEATA KOPYSC,2000,22,,,616,,yes,no,no,active
JANTAR STUDIO ARTUR MIKLEWSKI,1997,25,,,616,,no,no,no,inactive
KEWA,,,,,616,,yes,no,no,active
KROLEWSKI BURSZTYN K&B SP.Z.O.O.,2013,9,,,616,,no,no,no,inactive
MAGMA-ART MAGDALENA GLADYSZ,2005,17,,,616,,yes,yes,yes,active
MIRAZ GRZEGORZ PISULA,,,,,616,13197399,yes,no,no,active
PPHU DIAMENT PLUS,2001,21,,,616,,yes,no,yes,active
RODIUM SP.J.,,,,,616,8483617,yes,no,no,active
SILVER TOP WLODZIMIERZKARPINSKI,2000,22,0.5 - 1,,616,14962024,yes,no,no,active
SILVERPOL,,,,,616,,no,no,no,inactive
SREBROLEX. ZPH. ZAMOJSKI B.,1992,30,,,616,,yes,no,no,active
TADO P.H.H. TADEUSZ LESZCYNSKI,2001,21,,,616,,yes,no,no,active
VISANTI SP. Z.O.O.,,,,,616,,no,no,no,inactive
ADALIT (JEWELLERY FACTORY),,,,,643,,yes,no,no,active
"VEST, CO., LTD.",,,,,643,,yes,no,no,active
JOSE MARTINS BARBOSA CA. CA.,1973,49,,10-19,620,,no,no,no,active
A TURNER MANUFACTURING JEWELLERS,1980,42,,,710,,yes,no,yes,active
ANNA-B JEWELLERY CC,,,,,710,,yes,no,yes,active
ARTHUR KAPLAN JEWELLERS,2000,22,,,710,,yes,yes,yes,active
BEAUDELL DESIGNS,2014,8,,50-99,710,,yes,yes,yes,active
FOSCHINI RETAIL GROUP (PTY) LTD (PAROW EAST),,,,,710,,yes,no,no,active
MASLOV INTERNATIONAL (PTY) LTD.,,,,,710,,no,no,no,active
NICK THE PEARL MAN,,,,,710,,yes,no,no,active
ORO AFRICA,1945,77,,20-49,710,,yes,no,no,active
SILMAR MARKETING SA (PTY) LTD.,,,,,710,,no,no,no,active
SOMETHING SPECIAL IN JEWELLERY CC,,,,,710,,yes,no,no,active
THE BEAD SHOP,,,2 - 5,20-49,710,,yes,no,yes,inactive
WEST JEWEL LTD.,,,,,710,,no,yes,no,inactive
WESTCOR CC,,,,,710,19028155,yes,yes,no,inactive
AGUILAR DE DIOS EXPORTACION S.A.,1870,152,,,724,14106441,yes,yes,no,inactive
ALMACENES BUSTINZA S.A.,,,,,724,,no,yes,no,inactive
ANTHONY'S ANTIQUES SHOP,1979,43,,,724,,yes,yes,yes,active
ANTONIO LOPEZ MONTERO S.L.,,,,,724,10645050,yes,yes,yes,active
ARTE JOYA SL,,,,,724,,no,yes,no,inactive
AS & AS,1995,27,,,724,,no,yes,no,inactive
BOHEMME,2010,12,,,724,,yes,yes,yes,active
CASTELLANO JOYEROS,,,,,724,6139365,yes,yes,yes,active
COMERCIAL JADE CANARIAS SL,,,,,724,,no,no,no,inactive
CREACIONES MIGUEL ANGEL,,,,,724,5585261,no,yes,no,inactive
CREARTHAI SL,,,,0-9,724,,no,yes,no,inactive
CRISTIAN LAY,1981,41,21 - 50,50-99,724,62529,yes,no,yes,active
DAMASO MARTINEZ,1970,52,,,724,,yes,yes,yes,active
DISTRIBUCIONES KASKOTE. S.L.,,,,,724,,no,yes,no,inactive
DITTON JEWELL SL,,,,,724,,no,no,no,inactive
DOALLO PLATA SL,1979,43,,,724,,yes,yes,no,active
DURAN ,1886,136,,20-49,724,7392344,yes,yes,yes,active
EUROSILMEX,,,,,724,,no,no,no,inactive
EXP. PEDRO ROMERO MURIEL S.L.,1972,50,,10-19,724,,yes,no,no,active
FERMOL SA,,,,0-9,724,,no,no,no,inactive
"GREVE INVEST,S.L",1997,25,,100-249,724,558648,yes,yes,yes,active
INTERSEINA,,,,,724,,no,no,no,inactive
JOAQUIN IGLESIAS SL,,,,,724,,no,no,no,inactive
JOID ART,1981,41,21 - 50,100-249,724,1318820,yes,yes,yes,active
JORGE REVILLA,,,,0-9,724,,no,no,no,inactive
JOYASUR,,,,,724,,no,no,no,inactive
JOYERIA MAS,,,,,724,,no,no,no,inactive
JOYERIA SUAREZ,,,6 - 10,100-249,724,494504,yes,yes,yes,active
"JOYEROS 94,S.L. (SALVATORE PLATA)",,,,10-19,724,3129349,yes,yes,yes,active
LARREA JOYEROS S.L.,1997,25,,1000-4999,724,,no,no,no,inactive
"MACOVAL, S.L",2018,4,,0-9,724,,no,no,no,inactive
OUROBRILHO,,,,,724,,no,no,no,inactive
PIE DE REY DESIGNS S.L.,1973,49,,10-19,724,,yes,no,no,active
RAFAEL GUIJO S.A.,1962,60,,20-49,724,,no,no,no,inactive
"REASAS Y FORNITURAS, S.A.",,,,0-9,724,,no,no,no,inactive
"REJOY, S.A.",,,,0-9,724,,no,no,no,inactive
SACAIG S.A.,,,,,724,,no,no,no,inactive
STYLE ARISTOS,,,,,724,,no,no,no,inactive
AB SPORRONG,1666,356,,20-49,752,,no,no,no,inactive
AFROART,1967,55,,20-49,752,692042,yes,yes,yes,active
AHRENBECKS ADELSTENSSLIPERI AB,,,,,752,,no,no,no,inactive
BA KONSTGJUTERI AB,1970,52,,,752,,no,no,no,inactive
BENGT HALLBERG GULDSMEDS AB,1947,75,,,752,,no,no,no,inactive
BILARTEX AB,,,,,752,,no,no,no,inactive
BLOMDAHL MEDICAL AB,1985,37,2 - 5,20-49,752,2659458,yes,yes,yes,active
BRONSIL AB,,,,,752,2051330,yes,no,no,active
CONTINENTA AB,,,,,752,,no,no,no,inactive
GAUDY STOCKHOLM AB,1975,47,,,752,14045272,yes,yes,yes,active
GEOART AB,,,,,752,,no,no,no,inactive
GOLDEN SWAN AB,,,,,752,,no,no,no,inactive
GULDBOLAGET I BERGKVARA AB,1967,55,,,752,,yes,yes,yes,active
GULDFYND,1993,29,2 - 5,100-249,752,143538,yes,no,yes,active
GULDTEKNIK I KOPING AB,1990,32,,,752,,no,no,no,inactive
HALLMANS IDROTTISKLUBBARNAS PRISINKOP AB,,,,,752,,no,no,no,inactive
HOVJUVELERARE SVEDBOMS GULD,,,,,752,,no,no,no,inactive
IDEGULD AB,,,,,752,,no,no,no,inactive
"JO-AN'S GULD, AB",,,,,752,,no,no,no,inactive
LAPPLAND DESIGN AB,,,,,752,,no,no,no,inactive
METALLI SVENSKA FORSALJNINGS AB,,,,,752,,no,no,no,inactive
REKLAMPROFILEN AB,,,,,752,,no,no,no,inactive
ROSIN SMYCKEN AB,,,,,752,,no,no,no,inactive
RUFLI ADELSTENSSLIPERI AB,,,,,752,,no,no,no,inactive
SANDSTROM & DE WIT AB,,,,,752,,no,no,no,inactive
SAVSJO GULDSMEDS AB,1957,65,,,752,,no,no,no,inactive
SCHALINS RINGAR AB,1972,50,2 - 5,20-49,752,1192468,yes,no,yes,active
SVEDBOM & CO AB,,,,0-9,752,,no,no,no,inactive
SVEN WRANGE JUVELERARE AB,,,,,752,,no,no,no,inactive
SVENSKT GULDSMIDE & DESIGN AB,,,,,752,5551819,yes,no,yes,active
VICTOR JANSON GULDVARU AB,,,,,752,,no,no,no,inactive
AMBASSADEURS S.A. (LES),1964,58,10 - 15,100-249,756,523835,yes,no,yes,active
ANDREW COHEN SA,,,,,756,,no,no,no,inactive
APERO SWITZERLAND TM SA,1989,33,,,756,,no,no,no,inactive
ATELIER TESSA GOLDSCHMIEDE,,,,,756,,no,no,no,inactive
ATELIER TSCHAN,,,,,756,,no,no,no,inactive
BERR AND PARTNERS S.A.,1986,36,,,756,,yes,no,yes,active
BIJOUTERIE BADER PROPRI&Eacute;TAIRE KURZ SA,,,,,756,,no,no,no,inactive
BIJOUX BONNET S.A.,,,,,756,,no,no,no,inactive
BUCHERER AG,1888,134,101 - 1000,250-499,756,99257,yes,yes,yes,active
BY OLGA RIBLER,,,,,756,,no,no,no,inactive
CHRIST UHREN U.SCHMUCK AG (ZENTRALVERWALTUNG),,,2 - 5,20-49,756,155273,yes,no,no,active
DESARTECH SA,,,,,756,,yes,no,yes,active
DIAMANTHAUS,2017,5,,,756,5809881,yes,no,no,active
DIAMS.CH SA,2004,18,,,756,,no,no,no,inactive
EMILIO ZOPPI,,,,,756,,no,no,no,inactive
FEINEST GMBH,,,,,756,,no,no,no,inactive
FILLNER LUZERN,,,,,756,,no,no,no,inactive
FRIEDEN LTD. CREATIVE DESIGN,,,,,756,,no,no,no,inactive
GOLAY FILS & STAHL S.A.,1837,185,,,756,,no,no,no,inactive
GOLDSCHMIEDE RICHTERSWIL,,,,,756,,no,no,no,inactive
HOROVITZ & TOTAH SA,,,,,756,,no,no,no,inactive
KURZI SCHMUCKDESIGN,,,,,756,,no,no,no,inactive
MEISTER + CO. AG,1897,125,21 - 50,100-249,756,1530358,yes,no,yes,active
MOJO DESIGN GMBH,2005,17,,,756,13629251,yes,no,no,active
QUADRAT SCHMUCK KUNDENDIENST & VERWALTUNG,,,,,756,,no,no,no,inactive
TANNLER,,,,,756,,no,no,no,inactive
URS KAUFMANN GOLDSCHMIED,,,,,756,,no,no,no,inactive
ZOPPI AG,1932,90,,,756,,yes,no,yes,active
ARI D. NORMAN LTD.,1998,24,,,826,,no,no,no,inactive
CLARKE MANUFACTURING LTD.,,,,,826,,no,no,no,inactive
CME JEWELLERY,1977,45,2 - 5,20-49,826,1181524,yes,no,yes,active
COO JEWELLERS,2010,12,,20-49,826,19344421,no,no,no,inactive
ETERNITY JEWELLERY LIMITED,1962,60,,20-49,826,5420093,yes,no,no,active
F HINDS LTD.,1856,166,101 - 1000,250-499,826,95118,yes,no,yes,active
H SAMUEL,1862,160,101 - 1000,250-499,826,22347,yes,no,yes,active
HALF PRICE JEWELLERS,1998,24,,,826,,no,no,no,inactive
INTERNATIONAL BULLION AND METAL BROKERS (LONDON) LTD,1974,48,21 - 50,100-249,826,620761,yes,no,yes,active
MAPPIN & WEBB LTD.,,,,,826,,no,no,no,inactive
MOIRA FINE JEWELLERY LIMITED,,,,,826,,no,no,no,inactive
OPTIMA MANUFACTURING JEWELLERS LTD.,1981,41,,,826,,no,no,no,inactive
PRAVINS HOLDINGS LTD.,1969,53,21 - 50,100-249,826,659774,yes,no,yes,active
STUBBS & CO. (UK) LTD.,,,,,826,,no,no,no,inactive
1-800-LOOSE DIAMONDS,1987,35,21 - 50,100-249,840,4604350,yes,no,yes,active
1928 JEWELRY CO.,,,,,840,,no,no,no,inactive
4C DIAMONDS INC.,,,,,840,,no,no,no,inactive
925 CO.,,,,,840,,no,no,no,inactive
"A&J TOOL FINDINGS CO., INC.",,,,,840,,no,no,no,inactive
A&Z HAYWARD,,,,,840,,no,no,no,inactive
A. FISHMAN & SON JEWELRY INC.,1947,75,,,840,,no,no,no,inactive
A. HERSCHLAG INC.,,,,,840,,no,no,no,inactive
AARON FABER GALLERY,,,,20-49,840,7965205,yes,no,no,active
ADWAR CASTING,1972,50,,20-49,840,4287320,no,no,no,inactive
AG COLOR INC.,1998,24,,,840,,no,no,no,inactive
ALICE STURZINGER LTD.,,,,,840,,no,no,no,inactive
ALL SEASONS CO.,,,,,840,,no,no,no,inactive
ALMOR DESIGNS INC.,,,,,840,,no,no,no,inactive
ALPHA & OMEGA JEWELRY & ANTIQUES,,,,,840,,no,no,no,inactive
ALPHA IMPORTS INC.,,,,,840,,no,no,no,inactive
ALUMA USA.,,,,,840,,no,no,no,inactive
ALWAND VAHAN JEWELRY LTD.,1968,54,,,840,6121116,yes,no,yes,active
AMBER ART / UNIQUE & COMPANY,1993,29,,,840,,no,no,no,inactive
AMBER BY GRACIANA,1986,36,,,840,,no,no,no,inactive
"AMBER No. 1, INC.",,,,,840,,no,no,no,inactive
AMBERMAN,,,,,840,,no,no,no,inactive
JEWELRY TELEVISION,1993,29,101 - 1000,1000-4999,840,11613,yes,no,yes,active
"JOHN C. NORDT CO., INC.",1947,75,,50-99,840,9444985,yes,no,no,active
JORDAN SCHLANGER,1993,29,,,840,,no,no,no,inactive
JOSEPH BLANK INC.,1962,60,,,840,,no,no,no,active
"JOSEPH GAD, INC.",1995,27,,,840,,no,no,no,active
