Company_Name,incorporation_date,Period,income ($M),num_employee,country_code,web_globalrank,has_domain,has_instargram,has_facebook,Status,
EUROPEAN DESIGN JEWELRY,,,,,124,,no,no,no,inactive,
FLICA INC,1995,27,,0-9,124,,yes,no,yes,active,
GOLD & SILVER HOUSE LTD,,,,,124,,no,no,no,inactive,
HARVEY KESSLER JEWELLERY INC,1990,32,,0-9,124,,no,no,no,inactive,
KORITE INT'L LTD,,,,,124,,no,no,no,inactive,
LARUS INC.,1981,41,,,124,"11,332,026",yes,no,yes,active,
MARILENA JEWELLERY IMPORTS LTD,1984,38,,,124,,no,no,no,inactive,
SINDBAD INC.,1987,35,,0-9,124,,yes,no,yes,active,
ANDREA COGGIOLA,,,,,152,,no,no,no,inactive,
COMERCIAL PARINACOTA,,,,,152,,no,no,no,inactive,
GUTHMANN Y LOY LYDA.,,,,,152,,no,no,no,inactive,
JOYERIA FIRENSSE,,,,,152,,no,no,no,inactive,
VALENTINO Y CIA. LTDA.,1983,39,,10-19,152,,no,no,no,inactive,
ALLURE,,,,,203,,no,no,no,inactive,
"ALO JEWELRY, S.R.O.",2014,8,2 - 5,100-249,203,"1,312,251",yes,no,yes,active,
BEAD4U S.R.O.,,,,,203,,no,no,no,inactive,
"BELDA A SPOL.,S.R.O.",1992,30,,,203,,yes,no,yes,active,
BENET GOLD S.R.O.,1992,30,,,203,,no,no,no,inactive,
BOHEMIA CRYSTAL PALACE,1998,24,,,203,,no,no,no,inactive,
CABRHA DIAMONDS SRO,2011,11,,,203,,no,no,no,inactive,
CARLO ROMANI SRO,2005,17,,,203,,no,no,no,inactive,
CISTIN DRAHE KAMENY,,,,,203,,no,no,no,inactive,
CISTIN SRO,2000,22,,,203,,no,no,no,inactive,
CROWN CZ A.S.,2004,18,,,203,,no,no,no,inactive,
GRANAT TURNOV,1953,69,2 - 5,20-49,203,"3,547,265",yes,no,no,inactive,
HALADA SPOL.S.R.O,,,,,,,no,no,no,inactive,
INBAR S.R.O.,1995,27,,,203,,yes,no,yes,active,
ING. LEO STOKLASA,,,,,,,no,no,no,inactive,
"KABRA, SPOL S.R.O.",,,,,,,no,no,no,inactive,
MAHAKAM,,,,,,,no,no,no,inactive,
MARKO-BIJOU S.R.O.,2004,18,,,Czech Republic,,no,no,no,active,
"MINERAL METAL, SDRUZENI",,,,,,,no,no,no,inactive,
"MOSNA, A.S.",2001,21,,,Czech Republic,,no,no,no,inactive,
OT J&M ORLOVI,,,,,,,no,no,no,inactive,
DRAKKARIA s.r.o.,2018,4,2 - 5,,Czech Republic,"644,273",yes,no,no,active,
"SOLITER, A.S.",1991,31,,,Czech Republic,"6,620,459",no,no,no,inactive,
A. AGENCY APS,1982,40,,,208,,no,no,no,inactive,
BENDT LARSEN APS,1990,32,,0-9,208,,no,no,no,inactive,
HEIRING A/S,2001,21,,10-19,208,,yes,no,yes,active,
HEJL & CO. A/S,,,,,,,no,no,no,inactive,
JEWELLEX IMPORT APS,,,,,,,no,no,no,inactive,
OLE LYNGGAARD APS,1977,45,10 - 15,100-249,208,"750,222",yes,yes,yes,active,
"PIND J. DESIGN, GULDSMEDIE",,,,,,,no,no,no,inactive,
RAVFEHRN APS,,,,,,,no,no,no,inactive,
SCANFORS A/S,,,,,208,,no,no,no,inactive,
Farouk Ibrahim Botros Jewellery,,,,,818,,no,no,no,inactive,
SAMIR NASIEF MENIAWY IMPORT & EXPORT CO.AGENCIES,,,,,818,,no,no,no,inactive,
LAATUKORU OY,1991,31,16 - 20,100-249,246,"436,874",yes,yes,yes,active,
LAPPONIA JEWELRY OY,,,,,246,,no,no,no,inactive,
NAANTALIN HOPEAPAJA,2000,22,,,246,"2,076,472",no,no,no,active,
OY TILLANDER AB,1926,96,,,246,"5,168,752",yes,yes,yes,active,
SIROKORU OY,1980,42,,,246,,yes,yes,yes,active,
TAMMEN KORU OY TAMMI JEWELLERY,2001,21,,,246,"3,023,610",yes,yes,yes,active,
YLAMAAN KORUKIVI KY,,,,,246,"13,039,311",yes,yes,no,active,
ALAIN BERTRANDIE AGENT COMMERCIAL,,,,,250,,no,no,no,inactive,
AMBROSIA,,,,,250,,no,no,no,inactive,
AUX DIAMANTS DE NAVARRE,1957,65,,0-9,250,,no,no,no,inactive,
BELLON ET FILS SA,,,,20-49,250,"2,821,272",yes,no,yes,active,
BIJOUX ALTESSE,1956,66,,,250,,yes,no,yes,active,
DJULA,1997,25,2 - 5,20-49,250,"1,897,457",yes,no,yes,active,
EMASUR SA,,,,,250,"5,827,357",yes,yes,yes,active,
ETS UL YSSE PONCET SA,,,,,250,,no,no,no,inactive,
J.J. FAUR,,,,,250,,no,no,no,inactive,
KORLOFF SA,1980,42,,20-49,250,,yes,yes,no,active,
LES PERLES DE VENUS,1978,44,,0-9,250,"8,339,249",yes,no,no,active,
LEWISTONE JEWELRY,,,,,250,,yes,yes,yes,active,
MAXEVAN DIFFUSION SARL,,,,,250,"7,295,454",yes,no,yes,active,
ALEXANDER GROECHEL,,,,,276,,no,no,no,inactive,
ANDERSWELT IMPORT,,,,,276,,no,no,no,inactive,
ANDREAS DAUB GMBH + CO KG,1962,60,,,276,,yes,no,no,active,
AUGUST GERSTNER RINGFABRIK GMBH & CO.KG,,,16 - 20,100-249,276,"1,674,095",yes,yes,yes,active,
BB BURKHARDT&BISCHOFF GMBH CO.,,,,,276,"6,423,939",yes,no,yes,active,
BERHARD CONRADT GMBH&CO.KG,,,,,276,"15,339,573",yes,yes,yes,active,
BINDER FRIEDRICH GMBH & CO.KG,2007,15,,20-49,276,"2,541,938",yes,yes,yes,active,
BREUNING GMBH,2007,15,2 - 5,20-49,276,"1,058,109",yes,yes,yes,active,
BUELLING GERMANY E.K.,2011,11,,,276,,no,no,no,inactive,
BURKHARD MUELLER SCHMUCK GMBH,,,,,276,,no,no,no,inactive,
CARL DILLENIUS BIJOUTERIE GMBH,2010,12,,,276,,yes,no,yes,active,
CHAC MOOL HANDELS GMBH,2007,15,,,276,,no,no,no,inactive,
COL. GINNI LAZZARO E.K.,,,,,276,,yes,yes,no,active,
DANIEL HARER SCHMUCK GMBH,,,,,276,,no,no,no,inactive,
ECLIPSE,,,,,276,"17,425,270",yes,no,no,inactive,
EGF - EDUARD G. FIDEL GMBH,2007,15,,,276,,yes,no,yes,active,
EUGEN DETTINGER GMBH,,,,,276,,yes,no,no,active,
EUGEN RUHLE GMBH + CO. KG,2018,4,,,276,,yes,no,yes,active,
GERHARD KUHNEL E.K.,2017,5,,,276,,yes,no,yes,active,
GLOBAL GEMS,,,,,276,"16,590,732",yes,no,yes,inactive,
HANS D. KRIEGER KG,2015,7,,,276,,yes,no,yes,inactive,
HANS RIVOIR GMBH JUWELENMANUFAKTUR,,,,,276,,no,no,no,inactive,
HEINZ MAYER OHG,2018,4,,,276,,yes,no,no,inactive,
IMPEXCO SCHMUCKWARENHANDEL GMBH,2013,9,,,276,,yes,no,no,inactive,
J. KOHLE GMBH & CO. KG,2018,4,,,276,,yes,no,yes,inactive,
KLEIN+SCHUTZ GMBH,2012,10,,,276,,yes,no,no,inactive,
KOOS EDELMETALLE GMBH,2017,5,,,276,"4,060,017",yes,no,no,active,
LARS ENEVOLD KNUDSEN MEO JEWELRY CO LTD,,,,,276,,no,no,no,inactive,
LINDER SCHMUCKWAREN GMBH,2014,8,,,276,"5,244,708",yes,no,yes,inactive,
QUINN SCHERURLE GMBH,,,,,276,"5,755,502",yes,no,no,active,
VICTOR MAYER GMBH & CO. KG,2017,5,,,276,"8,830,727",yes,no,yes,active,
WALTER DUMBERT OHG,,,,,276,,no,no,no,inactive,
WELLENDORFF GOLD-CREATIONEN GMBH&CO.KG,2008,14,16 - 20,100-249,276,"2,341,381",yes,no,yes,active,
WILH. DRACHE KG GMBH & CO.,,,,,276,"14,647,788",yes,no,no,inactive,
ARTEON,2010,12,,,300,,yes,yes,yes,active,
EKAN SA,,,,,300,,yes,yes,yes,active,
FOLLI-FOLLIE S.A.,,,101 - 1000,5000-9999,300,"704,489",yes,yes,yes,active,
GREGIO,1970,52,,20-49,300,"420,457",yes,no,no,active,
"NOVELTEX HELLAS-S. LOUKOPOULOS & CO., LTD.",,,,,300,,no,no,no,inactive,
PRINCE SILVERO S.A.,,,,,300,"7,455,140",yes,no,no,active,
SAVATI S.A.,,,,,300,"7,343,883",yes,no,yes,active,
SYMBOL HELLAS IMPORTING S.A.,1984,38,,,300,,,no,no,active,
Taxiarchis Chatzianagnostou Bros SA,1949,73,,50-99,300,"934,554",yes,yes,yes,active,
ALIREZA JEWELRY,,,,,364,,no,no,no,active,
TEHRAN GOLDEN ARVIN TRADING CO.,,,,,364,,no,no,no,active,
ZARTAB JEWELRY CO.,1999,23,6 - 10,,364,,no,no,no,active,
ANTHONY NICHOLAS GROUP,1936,86,,250-499,364,"242,789",yes,yes,yes,active,
ALLE MEGIDDO LTD.,1976,46,,20-49,364,,no,no,no,active,
BAT-AMI LTD.,1960,62,6 - 10,10-19,376,,yes,no,yes,active,
CITRA JEWELRY LTD.,1979,43,,,376,,yes,no,no,active,
COHEN YOSSI JEWELLERY,,,,,376,,no,no,no,active,
DENIR INTERNATIONAL LTD.,,,,,376,,no,no,no,active,
H.R. DIAMONDS LTD.,1982,40,,,376,,no,no,no,active,
INBAR FINE JEWELLERY,1998,24,,,376,,no,no,no,active,
INTERNATIONAL BULLION AND METAL BROKERS (TEL AVIV) LTD,2010,12,,,376,,yes,no,no,active,
JAFFA GOLD INTERNATIONAL LTD.,1994,28,,,376,,no,no,no,active,
LICAST JEWELLER QUALITY TOOLS LTD.,,,,,376,,no,no,no,active,
MARINA JEWELLERY LTD.,1996,26,,,376,,yes,yes,yes,active,
ZABAN BECHOR'S JEWELLERY LTD.,1995,27,,,376,"1,080,079",yes,yes,yes,active,
ACME IN-EX SILVER JEWELLERY,,,2 - 5,10-19,380,,yes,no,no,active,
ANTONELLA ORSATO,,,0.5 - 1,,380,,yes,no,no,active,
ASOLO GOLD SPA,1984,38,10 -15,50-99,380,,yes,no,no,active,
AURA SRL,2001,21,,,380,"13,263,404",yes,yes,yes,active,
BETTER SILVER SPA,1977,45,16 - 20,50-99,380,,yes,no,no,active,
BIBIGI SRL,,,2 - 5,10-19,380,,yes,yes,yes,active,
BRIGATO SRL,2001,21,,20-49,380,,yes,no,no,active,
BUSATTI,,,,,380,,no,no,no,active,
C.D.I. S.P.A.,1963,59,,,380,,yes,no,yes,active,
CARLO BARBERIS SRL,1966,56,,0-9,380,"15,497,800",yes,yes,yes,active,
CI ZETA GIOIELLI S.R.L.,,,,,380,,no,no,no,active,
CLUB EXOTIC & ORIENTAL HANDCRAFTS,,,,,380,,no,no,no,active,
CONFEDORAFI,,,,,380,,no,no,no,active,
D AURIA LEONE,,,,,380,,no,no,no,active,
DELTA STILE S.R.L.,2010,12,101 - 1000,0-9,380,,yes,no,yes,active,
DIBI GOLD SRL,2007,15,101 - 1000,10-19,380,,yes,no,no,active,
EIGHTY ONE SRL,1991,31,101 - 1000,0-9,380,,yes,no,yes,active,
EVAN S.R.L.,,,,,380,,no,no,no,inactive,
F.LLI LACOBELLI SRL,1969,53,,10-19,380,,no,no,no,active,
F.LLI MORAGLIONE S.R.L.,1949,73,0.5 - 1,0-9,380,,yes,yes,yes,active,
FANAMO SRL 233AR,1975,47,0.5 - 1,,380,,yes,no,no,active,
G. ROBERT SRL,1992,30,0.5 - 1,,380,,no,no,no,active,
GEMMA GIOIELLI,,,,,380,,yes,no,no,active,
GIORGIO VISCONTI SPA,1993,29,16 - 20,,380,"1,113,345",yes,yes,yes,active,
Giuri del Design Orafo,,,,,380,,no,no,no,active,
GORGOGLIONE SRL,2004,18,2 - 5,20-49,380,,yes,no,no,active,
IL SOLE GIOELLI SRL,1995,27,2 - 5,10-19,380,,yes,no,no,active,
ITALO GORI SRL,1998,24,101 - 1000,0-9,380,,yes,no,no,active,
LA FIORENTE GIOIELLI SRL,,,,,380,,yes,no,no,active,
LINEA 2002 SRL,,,,,380,,no,no,no,active,
LUCCHETTA ARMANDO SRL,1992,30,2 - 5,20-49,380,,yes,no,no,active,
LUNATI SRL,1944,78,76 - 100,0-9,380,,yes,yes,yes,active,
MASSONI & MASSONI SRL,2005,17,0.5 - 1,,380,,yes,yes,no,active,
MINERAL GEMME SAS,,,,,380,,,no,no,inactive,
OROZEN SRL,1979,43,2 - 5,10-19,380,,yes,no,no,active,
ROBERTO MAGI SPA,2001,21,2 - 5,,380,,yes,no,no,active,
ROTA E ROTA - ERREDUE SRL,,,,,380,,no,no,no,active,
STEFANI ARGENTO SRL,1982,40,101 - 1000,0-9,380,,yes,no,no,active,
TRADEMAX DI BARBI MARIO MASSIMO,,,,,380,,no,no,no,active,
SIA SCALA DI VALORI,2005,17,,20-49,428,,no,no,no,active,
AMBER ALEX LTD,,,2 - 5,20-49,440,,yes,yes,yes,active,
AMBER SEASIDE,1997,25,2 - 5,20-49,440,,yes,yes,yes,active,
AMBER WORLD LT,,,,,440,,no,no,no,active,
AMBERHOME LT,2012,10,0.5 - 1,0-9,440,,yes,no,no,active,
D. MILIAUS UKI,1995,27,0.5 - 1,20-49,440,,yes,yes,yes,active,
SAULUVA,2013,9,0.5 - 1,0-9,440,,yes,no,no,active,
CLASSIC JEWELLERS,1997,25,,,470,,yes,yes,yes,active,
"EDWARD LOWELL CO., LTD.",1966,56,,,470,"14,045,180",yes,yes,yes,active,
ITALA GOLD JEWELLERY LTD.,1990,32,,,470,"1,525,458",no,no,no,active,
"ORO BOLEADO, SA DE CV",1995,27,2 - 5,10-19,484,,yes,yes,yes,active,
ACCESSA B.V.,,,,,528,,no,no,no,inactive,
BRON SIERADEN,,,,,528,,yes,yes,yes,active,
C & S INTERNATIONAL B.V.,2020,2,,,528,"7,534,621",no,no,no,inactive,
GASSAN DIAMONDS,1945,77,76 - 100,250-499,528,,yes,yes,yes,active,
I.B.B.,2013,9,,50-99,528,"857,075",yes,no,no,active,
JEH COLLECTION,1993,29,,0-9,528,,yes,no,no,active,
LUCADI JUWELIERS,1988,34,101 - 1000,500-999,528,"8,123,026",yes,yes,yes,active,
STELMAN JUWELIER,1982,40,,,528,"52,443",yes,no,yes,active,
THEO LUCAS JUWELIER,,,,,528,"5,353,619",yes,no,no,active,
ARGOSY JEWELLERY LIMITED,,,,,528,,no,no,no,inactive,
OPAL PACIFIC LTD,1985,37,2 - 5,10-19,528,,yes,no,no,active,
IBRAHIM INUWA AND SONS LIMITED.,1995,27,,,562,,no,no,no,inactive,
DONNAS SMYKKEGALLERI DONNA JEAN,2012,10,,0-9,578,,no,no,no,inactive,
ARIN S.A.,1986,36,,50-99,604,,yes,no,no,active,
ALL SILVER,,,,,616,"10,600,529",yes,no,no,active,
AMBER-KEWA,,,,,616,"10,437,100",yes,no,no,active,
AMBERSIL ADAM MISZTAL,1995,27,,,616,,yes,no,no,active,
AMBRA-CASA CEZARY KRASZEWSKI,1997,25,,,616,,no,no,no,inactive,
BACO CO. GRZEGORZ DEJCZ,,,6 - 10,20-49,616,,no,no,no,inactive,
BIAMET,2001,21,,,616,,yes,no,no,active,
DE TIAN SP. Z,2002,20,,10-19,616,,yes,no,no,active,
FH KALOTA,1997,25,,,616,,yes,yes,yes,active,
GREGSTON,2012,10,,,616,,yes,no,no,active,
ITAR BEATA KOPYSC,2000,22,,,616,,yes,no,no,active,
JANTAR STUDIO ARTUR MIKLEWSKI,1997,25,,,616,,no,no,no,inactive,
KEWA,,,,,616,,yes,no,no,active,
KROLEWSKI BURSZTYN K&B SP.Z.O.O.,2013,9,,,616,,no,no,no,inactive,
MAGMA-ART MAGDALENA GLADYSZ,2005,17,,,616,,yes,yes,yes,active,
MIRAZ GRZEGORZ PISULA,,,,,616,"13,197,399",yes,no,no,active,
PPHU DIAMENT PLUS,2001,21,,,616,,yes,no,yes,active,
RODIUM SP.J.,,,,,616,"8,483,617",yes,no,no,active,
SILVER TOP WLODZIMIERZKARPINSKI,2000,22,0.5 - 1,,616,"14,962,024",yes,no,no,active,
SILVERPOL,,,,,616,,no,no,no,inactive,
SREBROLEX. ZPH. ZAMOJSKI B.,1992,30,,,616,,yes,no,no,active,
TADO P.H.H. TADEUSZ LESZCYNSKI,2001,21,,,616,,yes,no,no,active,
VISANTI SP. Z.O.O.,,,,,616,,no,no,no,inactive,
ADALIT (JEWELLERY FACTORY),,,,,643,,yes,no,no,active,
"VEST, CO., LTD.",,,,,643,,yes,no,no,active,
JOSE MARTINS BARBOSA CA. CA.,1973,49,,10-19,620,,no,no,no,active,
A TURNER MANUFACTURING JEWELLERS,1980,42,,,710,,yes,no,yes,active,
ANNA-B JEWELLERY CC,,,,,710,,yes,no,yes,active,
ARTHUR KAPLAN JEWELLERS,2000,22,,,710,,yes,yes,yes,active,
BEAUDELL DESIGNS,2014,8,,50-99,710,,yes,yes,yes,active,
FOSCHINI RETAIL GROUP (PTY) LTD (PAROW EAST),,,,,710,,yes,no,no,active,
MASLOV INTERNATIONAL (PTY) LTD.,,,,,710,,no,no,no,active,
NICK THE PEARL MAN,,,,,710,,yes,no,no,active,
ORO AFRICA,1945,77,,20-49,710,,yes,no,no,active,
SILMAR MARKETING SA (PTY) LTD.,,,,,710,,no,no,no,active,
SOMETHING SPECIAL IN JEWELLERY CC,,,,,710,,yes,no,no,active,
THE BEAD SHOP,,,2 - 5,20-49,710,none,yes,no,yes,Inactive,
WEST JEWEL LTD.,,,,,710,,no,yes,no,Inactive,
WESTCOR CC,,,,,710,"19,028,155",yes,yes,no,Inactive,
AGUILAR DE DIOS EXPORTACION S.A.,1870,152,,,724,"14,106,441",yes,yes,no,Inactive,
ALMACENES BUSTINZA S.A.,,,,,724,,no,yes,no,Inactive,
ANTHONY'S ANTIQUES SHOP,1979,43,,,724,,yes,yes,yes,active,
ANTONIO LOPEZ MONTERO S.L.,,,,,724,"10,645,050",yes,yes,yes,active,
ARTE JOYA SL,,,,,724,,no,yes,no,Inactive,
AS & AS,1995,27,,,724,,no,yes,no,Inactive,
BOHEMME,2010,12,,,724,,yes,yes,yes,active,
CASTELLANO JOYEROS,,,,,724,"6,139,365",yes,yes,yes,active,
COMERCIAL JADE CANARIAS SL,,,,,724,,no,no,no,Inactive,
CREACIONES MIGUEL ANGEL,,,,,724,"5,585,261",no,yes,no,Inactive,
CREARTHAI SL,,,,0-9,724,,no,yes,no,Inactive,
CRISTIAN LAY,1981,41,21 - 50,50-99,724,"62,529",yes,no,yes,active,
DAMASO MARTINEZ,1970,52,,,724,,yes,yes,yes,active,
DISTRIBUCIONES KASKOTE. S.L.,,,,,724,,no,yes,no,Inactive,
DITTON JEWELL SL,,,,,724,,no,no,no,Inactive,
DOALLO PLATA SL,1979,43,,,724,,yes,yes,no,active,
DURAN ,1886,136,,20-49,724,"7,392,344",yes,yes,yes,active,
EUROSILMEX,,,,,724,,no,no,no,Inactive,
EXP. PEDRO ROMERO MURIEL S.L.,1972,50,,10-19,724,,yes,no,no,active,
FERMOL SA,,,,0-9,724,,no,no,no,Inactive,
"GREVE INVEST,S.L",1997,25,,100-249,724,"558,648",yes,yes,yes,active,
INTERSEINA,,,,,724,,no,no,no,Inactive,
JOAQUIN IGLESIAS SL,,,,,724,,no,no,no,Inactive,
JOID ART,1981,41,21 - 50,100-249,724,"1,318,820",yes,yes,yes,active,
JORGE REVILLA,,,,0-9,724,,no,no,no,Inactive,
JOYASUR,,,,,724,,no,no,no,Inactive,
JOYERIA MAS,,,,,724,,no,no,no,Inactive,
JOYERIA SUAREZ,,,6 - 10,100-249,724,"494,504",yes,yes,yes,active,
"JOYEROS 94,S.L. (SALVATORE PLATA)",,,,10-19,724,"3,129,349",yes,yes,yes,active,
LARREA JOYEROS S.L.,1997,25,,1000-4999,724,,no,no,no,Inactive,
"MACOVAL, S.L",2018,4,,0-9,724,,no,no,no,Inactive,
OUROBRILHO,,,,,724,,no,no,no,Inactive,
PIE DE REY DESIGNS S.L.,1973,49,,10-19,724,,yes,no,no,active,
RAFAEL GUIJO S.A.,1962,60,,20-49,724,,no,no,no,Inactive,
"REASAS Y FORNITURAS, S.A.",,,,0-9,724,,no,no,no,Inactive,
"REJOY, S.A.",,,,0-9,724,,no,no,no,Inactive,
SACAIG S.A.,,,,,724,,no,no,no,Inactive,
STYLE ARISTOS,,,,,724,,no,no,no,Inactive,
AB SPORRONG,1666,356,,20-49,752,,no,no,no,Inactive,
AFROART,1967,55,,20-49,752,"692,042",yes,yes,yes,active,
AHRENBECKS ADELSTENSSLIPERI AB,,,,,752,,no,no,no,Inactive,
BA KONSTGJUTERI AB,1970,52,,,752,,no,no,no,Inactive,
BENGT HALLBERG GULDSMEDS AB,1947,75,,,752,,no,no,no,Inactive,
BILARTEX AB,,,,,752,,no,no,no,Inactive,
BLOMDAHL MEDICAL AB,1985,37,2 - 5,20-49,752,"2,659,458",yes,yes,yes,active,
BRONSIL AB,,,,,752,"2,051,330",yes,no,no,active,
CONTINENTA AB,,,,,752,,no,no,no,Inactive,
GAUDY STOCKHOLM AB,1975,47,,,752,"14,045,272",yes,yes,yes,active,
GEOART AB,,,,,752,,no,no,no,Inactive,
GOLDEN SWAN AB,,,,,752,,no,no,no,Inactive,
GULDBOLAGET I BERGKVARA AB,1967,55,,,752,,yes,yes,yes,active,
GULDFYND,1993,29,2 - 5,100-249,752,"143,538",yes,no,yes,active,
GULDTEKNIK I KOPING AB,1990,32,,,752,,no,no,no,Inactive,
HALLMANS IDROTTISKLUBBARNAS PRISINKOP AB,,,,,752,,no,no,no,Inactive,
HOVJUVELERARE SVEDBOMS GULD,,,,,752,,no,no,no,Inactive,
IDEGULD AB,,,,,752,,no,no,no,Inactive,
"JO-AN'S GULD, AB",,,,,752,,no,no,no,Inactive,
LAPPLAND DESIGN AB,,,,,752,,no,no,no,Inactive,
METALLI SVENSKA FORSALJNINGS AB,,,,,752,,no,no,no,Inactive,
REKLAMPROFILEN AB,,,,,752,,no,no,no,Inactive,
ROSIN SMYCKEN AB,,,,,752,,no,no,no,Inactive,
RUFLI ADELSTENSSLIPERI AB,,,,,752,,no,no,no,Inactive,
SANDSTROM & DE WIT AB,,,,,752,,no,no,no,Inactive,
SAVSJO GULDSMEDS AB,1957,65,,,752,,no,no,no,Inactive,
SCHALINS RINGAR AB,1972,50,2 - 5,20-49,752,"1,192,468",yes,no,yes,active,
SVEDBOM & CO AB,,,,0-9,752,,no,no,no,Inactive,
SVEN WRANGE JUVELERARE AB,,,,,752,,no,no,no,Inactive,
SVENSKT GULDSMIDE & DESIGN AB,,,,,752,"5,551,819",yes,no,yes,active,
VICTOR JANSON GULDVARU AB,,,,,752,,no,no,no,Inactive,
AMBASSADEURS S.A. (LES),1964,58,10 - 15,100-249,756,"523,835",yes,no,yes,active,
ANDREW COHEN SA,,,,,756,,no,no,no,Inactive,
APERO SWITZERLAND TM SA,1989,33,,,756,,no,no,no,Inactive,
ATELIER TESSA GOLDSCHMIEDE,,,,,756,,no,no,no,Inactive,
ATELIER TSCHAN,,,,,756,,no,no,no,Inactive,
BERR AND PARTNERS S.A.,1986,36,,,756,,yes,no,yes,active,
BIJOUTERIE BADER PROPRI&Eacute;TAIRE KURZ SA,,,,,756,,no,no,no,Inactive,
BIJOUX BONNET S.A.,,,,,756,,no,no,no,Inactive,
BUCHERER AG,1888,134,101 - 1000,250-499,756,"99,257",yes,yes,yes,active,
BY OLGA RIBLER,,,,,756,,no,no,no,Inactive,
CHRIST UHREN U.SCHMUCK AG (ZENTRALVERWALTUNG),,,2 - 5,20-49,756,"155,273",yes,no,no,active,
DESARTECH SA,,,,,756,,yes,no,yes,active,
DIAMANTHAUS,2017,5,,,756,"5,809,881",yes,no,no,active,
DIAMS.CH SA,2004,18,,,756,,no,no,no,Inactive,
EMILIO ZOPPI,,,,,756,,no,no,no,Inactive,
FEINEST GMBH,,,,,756,,no,no,no,Inactive,
FILLNER LUZERN,,,,,756,,no,no,no,Inactive,
FRIEDEN LTD. CREATIVE DESIGN,,,,,756,,no,no,no,Inactive,
GOLAY FILS & STAHL S.A.,1837,185,,,756,,no,no,no,Inactive,
GOLDSCHMIEDE RICHTERSWIL,,,,,756,,no,no,no,Inactive,
HOROVITZ & TOTAH SA,,,,,756,,no,no,no,Inactive,
KURZI SCHMUCKDESIGN,,,,,756,,no,no,no,Inactive,
MEISTER + CO. AG,1897,125,21 - 50,100-249,756,"1,530,358",yes,no,yes,active,
MOJO DESIGN GMBH,2005,17,,,756,"13,629,251",yes,no,no,active,
QUADRAT SCHMUCK KUNDENDIENST & VERWALTUNG,,,,,756,,no,no,no,Inactive,
TANNLER,,,,,756,,no,no,no,Inactive,
URS KAUFMANN GOLDSCHMIED,,,,,756,,no,no,no,Inactive,
ZOPPI AG,1932,90,,,756,,yes,no,yes,active,
ARI D. NORMAN LTD.,1998,24,,,826,,no,no,no,Inactive,
CLARKE MANUFACTURING LTD.,,,,,826,,no,no,no,Inactive,
CME JEWELLERY,1977,45,2 - 5,20-49,826,"1,181,524",yes,no,yes,active,
COO JEWELLERS,2010,12,,20-49,826,"19,344,421",no,no,no,Inactive,
ETERNITY JEWELLERY LIMITED,1962,60,,20-49,826,"5,420,093",yes,no,no,active,
F HINDS LTD.,1856,166,101 - 1000,250-499,826,"95,118",yes,no,yes,active,
H SAMUEL,1862,160,101 - 1000,250-499,826,"22,347",yes,no,yes,active,
HALF PRICE JEWELLERS,1998,24,,,826,,no,no,no,Inactive,
